,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,geometry
11290,5,19842,Melbourne Central Railway Station (Melbourne City),-37.8099387667448,144.962593535096,2-GLW-mjp-7,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.962593535096 -37.8099387667448)
11291,6,19841,Flagstaff Railway Station (Melbourne City),-37.811981307387,144.955653760429,2-GLW-mjp-7,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.955653760429 -37.811981307387)
11292,7,22180,Southern Cross Railway Station (Melbourne City),-37.8179364275358,144.951411219786,2-GLW-mjp-7,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.951411219786 -37.8179364275358)
11293,8,19854,Flinders Street Railway Station (Melbourne City),-37.8183051340647,144.966964346167,2-GLW-mjp-7,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.966964346167 -37.8183051340647)
11294,2,19854,Flinders Street Railway Station (Melbourne City),-37.8183051340647,144.966964346167,2-HBG-mjp-6,Hurstbridge,Hurstbridge - City (Flinders Street),2,BE1014,FFFFFF,POINT (144.966964346167 -37.8183051340647)
11295,25,19907,East Richmond Railway Station (Richmond),-37.8263999511211,144.997065693884,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.997065693884 -37.8263999511211)
11296,4,19906,Burnley Railway Station (Burnley),-37.8275602161722,145.007555147088,2-BEL-mjp-5,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.007555147088 -37.8275602161722)
11297,5,19905,Hawthorn Railway Station (Hawthorn),-37.8218260089769,145.02289865876,2-BEL-mjp-5,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.02289865876 -37.8218260089769)
11298,7,19903,Auburn Railway Station (Hawthorn East),-37.8223983064671,145.045843657131,2-BEL-mjp-5,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.045843657131 -37.8223983064671)
11299,4,19906,Burnley Railway Station (Burnley),-37.8275602161722,145.007555147088,2-BEL-mjp-6,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.007555147088 -37.8275602161722)
11300,5,19905,Hawthorn Railway Station (Hawthorn),-37.8218260089769,145.02289865876,2-BEL-mjp-6,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.02289865876 -37.8218260089769)
11301,7,19903,Auburn Railway Station (Hawthorn East),-37.8223983064671,145.045843657131,2-BEL-mjp-6,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.045843657131 -37.8223983064671)
11302,1,19908,Richmond Railway Station (Richmond),-37.8240744554307,144.990164256273,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.990164256273 -37.8240744554307)
11303,3,19906,Burnley Railway Station (Burnley),-37.8275602161722,145.007555147088,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.007555147088 -37.8275602161722)
11304,4,19905,Hawthorn Railway Station (Hawthorn),-37.8218260089769,145.02289865876,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.02289865876 -37.8218260089769)
11305,5,19904,Glenferrie Railway Station (Hawthorn),-37.8214668222169,145.036438832309,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.036438832309 -37.8214668222169)
11306,6,19903,Auburn Railway Station (Hawthorn East),-37.8223983064671,145.045843657131,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.045843657131 -37.8223983064671)
11307,7,19853,Camberwell Railway Station (Camberwell),-37.8265671441721,145.058697177155,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.058697177155 -37.8265671441721)
11308,8,19892,East Camberwell Railway Station (Camberwell),-37.8258941905382,145.06819024741,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.06819024741 -37.8258941905382)
11309,9,19893,Canterbury Railway Station (Canterbury),-37.8244851789229,145.081224242904,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.081224242904 -37.8244851789229)
11310,10,19894,Chatham Railway Station (Surrey Hills),-37.8242995185118,145.088647930426,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.088647930426 -37.8242995185118)
11311,11,49343,Union Railway Station (Mont Albert),-37.8231179245399,145.100278054663,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.100278054663 -37.8231179245399)
11312,13,19897,Laburnum Railway Station (Blackburn),-37.8207802338162,145.140702708531,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.140702708531 -37.8207802338162)
11313,14,19898,Blackburn Railway Station (Blackburn),-37.8200707463717,145.150013542281,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.150013542281 -37.8200707463717)
11314,15,19899,Nunawading Railway Station (Nunawading),-37.8204282805611,145.175236853013,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.175236853013 -37.8204282805611)
